Date,Message
2024-12-21 14:38:09+00:00,
2024-12-21 14:38:09+00:00,
2024-12-21 14:38:08+00:00,
2024-12-21 14:38:08+00:00,
2024-12-21 14:38:08+00:00,
2024-12-21 14:38:08+00:00,
2024-12-21 14:38:08+00:00,
2024-12-21 14:38:08+00:00,
2024-12-21 14:38:08+00:00,
2024-12-21 14:38:08+00:00,"**The healthier you eat, the more you crave real food**

После недели такой еды как на фото, я так соскучилась по обычной домашней еде. Рада снова есть свои скучные овощи, фрукты и мясо😅"
2024-12-13 16:32:41+00:00,
2024-12-13 16:32:41+00:00,
2024-12-13 16:32:41+00:00,
2024-12-13 16:32:41+00:00,
2024-12-13 16:32:41+00:00,"**Для тех, кто хочет рельефный живот **

В первую очередь, это:

**1) Низкий процент жира**
Даже если у вас крутые кубики, под слоем жира их видно не будет (отстой да).

**2) Генетика**
Она определяет расположение и форму мышц. А еще она решает откладывать жир в живот или ноги.


Если с этим все ок, то результаты можно увидеть достаточно быстро. Добавила несколько типс на основе самых частых (когда-то своих же) ошибок при упражнениях на пресс.

Всем крепкого кора💞"
2024-12-08 11:07:04+00:00,"Зачем девушкам тренировать верх?

📌 **Баланс в развитии мышц**
Качать только ноги и ягодицы — это путь к ухудшению общей функциональности, незащищённым суставам и связкам (а значит, лёгким травмам).

📌 **Эстетика**
Пропорциональная фигура, визуальный эффект песочных часов, прямая осанка.

📌 **Функциональная сила**
Даже если вы не планируете беременность и не собираетесь таскать детей на руках, пакеты с продуктами никуда не денутся. Переезды с огромными чемоданами в незнакомом городе тоже никто не отменял. А еще многие из нас обожают гёрлбоссить по дому и спонтанно делать перестановку комнаты.

Поэтому не забываем про спинки и руки, девчули💖"
2024-12-08 11:07:04+00:00,
2024-12-08 11:07:04+00:00,
2024-12-08 11:07:04+00:00,
2024-12-02 09:59:46+00:00,
2024-12-02 09:59:45+00:00,
2024-12-02 09:59:45+00:00,
2024-12-02 09:59:45+00:00,
2024-12-02 09:59:45+00:00,
2024-12-02 09:59:45+00:00,
2024-12-02 09:59:45+00:00,
